thread_id,category,root_text,brand_text,is_real_resolution
2987367,policy_answer,"Im gonna be myself Clear: First, Spotify in some plans have no way to pay by paypal (in this case could be more easy to have control of this payments) Second: Spotify for Students, Ok, good, How do Spotify knows that we are students?","Hey Flávio! Spotify uses the verification service SheerID to confirm eligibility for the student discount. On the other hand, we appreciate your feedback about having PayPal again as a payment method for some of our offers. We'll be sure to pass it on to the right team /AR [link:ldFdZRiNAt]",
1055326,policy_answer,"Hey none of Lana Del Rey's music will play in the desktop app for Mac but it's able to play on my phone, what gives?","Sorry to hear this is ongoing, Joshua! We've made the devs aware and they're investigating. We'll send over a DM and continue to help",
143009,policy_answer,"Hi, Do you have a date when the full Reputation will be available?","Sorry, but we don't have any more info to share at the moment. Rest assured that we're working on it, and we hope to have it available soon. If you have any other questions, you know where to reach us",
2916631,policy_answer,this is really fucking annoying me. fix this please. Oh and also the rest of Heathers the Musical should be added to Spotify too.,"Hey Shiloh! Spotify makes music available in whatever form it’s given to us. As for Heathers the Musical, fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]",
2433036,policy_answer,i wanna listen to reputation so bad can they please just put it on spotify already,"Hey there. The album isn't available to stream just yet – stay tuned! For now, check out the singles: [link:3h0TnPWP0c]",
1878652,policy_answer,When will fifth harmony’s feels cover be released?,Hi there! We’ll have it available to you as soon as it’s available to us. There's more info about content at [link:0i8GpimuDa],
2023486,policy_answer,"Hey, where is the update for iPhone X ? 🤔","Hi Guillaume! We don't have any info to share right now, but we'll be sure to post updates on this soon. Anything else, let us know",
2614468,policy_answer,#TWICE #TWICETAGRAM when will twicetagram be on Spotify TT,No worries. We that they're available in Taiwan. Check this out: [link:zb4jNpPeeu],
2369709,fix_steps,"asking for a friend, iOS 11 doesn’t recognize Spotify is playing from lock screen or control center 🙄😠 #frustrated #help #troubleshoot",Could you ask your friend to restart the device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Let us know how it goes,
1938883,policy_answer,I need smoke and mirrors on Spotify 😭,"Hey Shalsha! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]",
869965,policy_answer,Where the F did ´s album went on ?!,"Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]",
2315975,fix_steps,"what is going on with guys atm, most of my songs won’t work, “not available on computer” artists like the xx are not working","Got it. Does logging out, restarting your device, and logging back in make a difference?",
1517187,policy_answer,مش فاهم ليييييه يارب spotify مش شغال في مصر عادي زي باقي الدول ولازم لفه وvpn وشغل الحرميه دا كل شويه -_-!!,"We understand. We don't have any info on this right now, but we'll be sure to announce any news at [link:8zO4WCXX7C]",
2905919,fix_steps,ur app on Xbox is tripping after that update #XboxOne,"Got it. Can you try logging out, restarting your Xbox, and logging back in? Does that make any difference?",
1521360,fix_steps,I do not want to connect with Waze why can't I just X out of this screen!?!,"Sure, we're always here to help! Does logging out, restarting your device, and logging back in make any difference at all?",
2158639,policy_answer,"I need to know why ""Breaking News"" by isn't on ....","Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]",
1850983,policy_answer,How do I change my premium account to a student premium account?,"Hey there, we're here to help! Here's all the information you need to know about the student discount: [link:rdZ9slIDDQ] 🙂",
1475999,policy_answer,Hiya is your app updated for iPhone X?,"We don't have any info to share about that yet, but it'd be a great idea to keep an eye out for updates",
739916,fix_steps,Hey I guess yesterday on my work computer I set my account to play from queue but now on my phone I’m stuck there? Help?,"You can give it a try. If that doesn't work, just log out and back in to see if it fixes it. Be sure to keep us posted!",
1850476,policy_answer,"Hey , can we get all of Lil Wayne’s mixtapes?","Hi Cooper! We’d love to have all of his stuff available, but we have some info about Spotify content here: [link:0i8GpimuDa]",
2382575,policy_answer,where’s the iPhone X update. The app is horrible right now.,"Hi! We're afraid we don't have any info on this right now, but we’re working on it as we speak. Stay tuned",
2615432,policy_answer,AND SPOTIFY?????????,"Hey there! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: [link:3h0TnPWP0c]",
2577777,policy_answer,can y’all please add RaRa by Travis Scott ft. Lil Uzi bc it’s only on SoundCloud,"Hi Patrick! We’d love to have all of his stuff available, but we have some info about content here: [link:0i8GpimuDa]",
122825,policy_answer,stop acting up; I need this rn,"Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]",
2615459,policy_answer,Hello why is below link not working for most of us? We need to listen to this #PerfectVelvet album by on ASAP!,"Hey! We're afraid the album isn't on Spotify yet, but we'll make sure to have it available to you as soon as it's available to us. More info about content here: [link:MEjmIRL2eB]",
1733259,policy_answer,PLEASE PUT THE CODE ALBUM on spotify. Coz monbebes are waitinggggg.,"Hey there! We’d love to have that album available, but we have some info about content here: [link:0i8GpimuDa]",
57569,policy_answer,"Hi, do you have an estimate when Spotify will start supporting voice commands with Siri?","Hey Janne! We're afraid we don't have any info about this. In the meantime, you can add you vote here: [link:3KnTWglNFC]...",
2387465,policy_answer,"All I wanna do is listen to podcasts and fall asleep, why is your Roku app failing me? 😩",Hi there! We have some info about the Spotify app on Roku here: [link:titMn0j3Im]. Give us a shout if there's anything else,
1538253,fix_steps,"I would like to listen to converge blow my fuckin mind, but everytime I try to launch it buffers forever. On a pixel. Thanks!",Thanks. Does the same thing happen with any other albums or artists? Try logging out > restarting your device > then logging back in,
