item_id,thread_id,created_at,sample_strategy,customer_raw,customer_clean,historical_reply,intent,escalate,escalate_reason,notes,labeler
g015,2201040,2017-11-26 12:36:16+00:00,random_uniform,Hope Spotify lose the ugly gradients soon.,Hope Spotify lose the ugly gradients soon.,"Hey! Thanks for the feedback. Rest assured, we've passed your feedback on to our devs. Give us a shout for anything else",feature_request_feedback,n,,,claude-draft (review each row)
g016,2175462,2017-11-09 13:19:22+00:00,stratified,Hey @SpotifyCares! Can I use my ISIC card to join as student or I must have @260711?,Hey ! Can I use my ISIC card to join as student or I must have ?,Hi! Help's here. Can you DM us your account's username or email address? We'll see what we can suggest /MU [link:ldFdZRiNAt],billing_subscription,n,,,claude-draft (review each row)
g017,1492575,2017-11-12 14:45:59+00:00,stratified,"@SpotifyCares @1457 I got it working — with limited functionality. The ready-made applet from spotify give random results with just a few of the tracks I add. I made my own applet with the spotify ifttt service that seem to return all tracks, but in a random order.","I'm trying out the service and get error ""Couldn't verify 'which playlist?' with spotify"" — I have premium spotify, have tried to remove both applets and services, and add them again. I'm able to browse lists in ifttt. Get error when I press save new applet.",Hi Frederik! Can you let us know what's happening exactly? We'll see what we can suggest,playback_app_bug,y,,"third-party (IFTTT) integration, no known fix",claude-draft (review each row)
g018,2569861,2017-10-30 14:33:35+00:00,random_uniform,"@SpotifyCares is excellent and friendly support when you need them. Keep up the good work, guys! 🙂👌","is excellent and friendly support when you need them. Keep up the good work, guys! 🙂👌","Aww, you made us blush! We've made you a playlist to let you know how we feel: [link:baH97PDu2i] 🙂",feature_request_feedback,n,,,claude-draft (review each row)
g019,620351,2017-11-28 09:59:47+00:00,random_uniform,@115888 Yes my son s paying you £9-99 a month why don’t you give something back to your loyal costumers he will to say anything to you as he as Asperger and loves his music you should contact all,3 months of Premium is just 99p. Play music offline wherever you go.,"Hey Laura! Right now, this offer's for new subscribers only, but we'll make sure your feedback is passed on to the relevant folks. Stay tuned for more deals for existing Premium subscribers 🙂",unhandleable,y,,"promo copy, not a customer request",claude-draft (review each row)
g020,2239725,2017-11-10 14:01:54+00:00,random_uniform,I'm pissed because someone hacked my @115888 and now all my playlists are gone. #trash,I'm pissed because someone hacked my and now all my playlists are gone. #trash,Hey! We’re sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage /KM [link:ldFdZRiNAt],account_access,y,,,claude-draft (review each row)
g021,2836362,2017-11-27 04:53:42+00:00,stratified,@115888 your process for adding family members to a family account is BROKEN. Your help community is frustrated. Me too. Do you have an actual help desk??,your process for adding family members to a family account is BROKEN. Your help community is frustrated. Me too. Do you have an actual help desk??,"Hey Hugh! We don't have phone support, but we'd be glad to lend a hand here. Could you send us a DM with your account's username or email address? We'll take a look and see what we can do to help 🔍 /DB [link:ldFdZRiNAt]",family_plan,y,,,claude-draft (review each row)
g022,1798721,2017-10-13 23:58:05+00:00,random_uniform,"@115888 do you offer an annual plan? If not, you should offer it at a discounted rate like Apple does. I would buy it.","do you offer an annual plan? If not, you should offer it at a discounted rate like Apple does. I would buy it.","Hi Ryan! You can buy Premium that's good for 12 months at [link:AeHiFRoX6a]. Just select ""Start Spotify Premium"". Hope that helps /DD [link:ldFdZRiNAt]",feature_request_feedback,n,,,claude-draft (review each row)
g023,2444274,2017-11-15 00:17:39+00:00,stratified,"Hey @115888 @SpotifyCares thanks for deleting all the albums I'd downloaded. iOS11. Yeah, thanks.","Hey thanks for deleting all the albums I'd downloaded. iOS11. Yeah, thanks.",Hey Richard! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this,offline_downloads,n,,,claude-draft (review each row)
g024,2055573,2017-10-06 16:52:24+00:00,stratified,@115888 @3493  Questio. - why isnt @14809's new album #Now listed under your new releases?,Questio. - why isnt 's new album #Now listed under your new releases?,"Hey Mackie! Our Curation team is independent & use taste, data, research, and trends to create playlists, but we’ll pass on your idea",content_availability,n,,,claude-draft (review each row)
g025,1302425,2017-10-27 00:19:55+00:00,random_uniform,"@SpotifyCares hi, can you help me disable the start on login feature? I'm on Mac OS X High Sierra running Spotify 1.0.66.478.g1296534d","hi, can you help me disable the start on login feature? I'm on Mac OS X High Sierra running Spotify 1.0.66.478.g1296534d",Hey there! Can you try reinstalling the app? Just follow the steps at [link:grEcQYYFVS]. Keep us posted,other,n,,how-to (settings),claude-draft (review each row)
g026,1882953,2017-10-22 20:25:03+00:00,stratified,"@SpotifyCares My family can't sign into their accounts.  We're on Premium Family.  Please help! Yes, they're in the same home.","My family can't sign into their accounts. We're on Premium Family. Please help! Yes, they're in the same home.",Hey! Help's here. Can you DM us the email addresses tied to the accounts included in your Family plan? We'll take a look backstage /RA [link:ldFdZRiNAt],family_plan,y,,,claude-draft (review each row)
g027,1832212,2017-11-08 01:39:34+00:00,stratified,@115888 would you guys care to explain why the hell is DLO3 music not available in my country? Am I not a paying user same as the rest of the globe?,would you guys care to explain why the hell is DLO3 music not available in my country? Am I not a paying user same as the rest of the globe?,Hey! Did you mean the Delvon Lamarr Organ Trio? Can you let us know which country your account is set to? We'll take a look,content_availability,n,,,claude-draft (review each row)
g028,1922237,2017-10-27 03:53:20+00:00,random_uniform,@115888 finally at my pc and im like why is music running? D:,What is spotiamb 0.2.1?! My music keeps playing to whatever this is? >.< whats up ?!,Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO [link:ldFdZRiNAt],account_access,y,,SpotiAmb = account hijack,claude-draft (review each row)
g029,1985228,2017-11-02 03:52:19+00:00,stratified,"@115888 2 So explain, how the actual fuck did someone somehow get my email, crack my password and then proceeded to just leisurely use it?","Fuck Spotify. Apparently they say my email address is already taken. Listen, , I have never used your app - ever. 1",Hi there. Can you DM us the email address you're trying to use to create an account with? We'll take a look backstage /NQ [link:ldFdZRiNAt],account_access,y,,email claimed by someone else,claude-draft (review each row)
g030,1505055,2017-10-16 21:26:41+00:00,stratified,@SpotifyCares After I downloaded the new update and now i cant play a lot of music anymore???? what’s going on?? https://t.co/bgP8BNK5MC,After I downloaded the new update and now i cant play a lot of music anymore???? what’s going on??,"Hi! We can help in English via Twitter, but we also have Dutch support via email at [link:zu6tKiIYUg]. If you'd like to...",playback_app_bug,n,,,claude-draft (review each row)
g031,2404038,2017-11-14 14:03:19+00:00,stratified,"Hello @115888,

as a member since the platform opened in the US i find it insulting that i’m constantly being fed soundcloud rap in your playlists on the browse section. I am taking back my music library. I dont want to look at Lil Pump when I open spotify.","Hello , as a member since the platform opened in the US i find it insulting that i’m constantly being fed soundcloud rap in your playlists on the browse section. I am taking back my music library. I dont want to look at Lil Pump when I open spotify.",Hey! Thanks for your feedback. The playlists shown on your Browse section are auto-populated depending on several factors such as...,feature_request_feedback,n,,,claude-draft (review each row)
g032,2319072,2017-11-13 09:33:58+00:00,stratified,@115888 @117153 any news on iPhone X support? Thank you!!,any news on iPhone X support? Thank you!!,"Hey Grant. Don't worry, we’re working on it as we speak. Stay tuned!",feature_request_feedback,n,,,claude-draft (review each row)
g033,1926547,2017-10-27 14:49:21+00:00,random_uniform,@SpotifyCares I'm also trying to shuffle my saved Songs (1100+) and still shuffle plays 8 songs from the same album or nearby on the list...,I'm also trying to shuffle my saved Songs (1100+) and still shuffle plays 8 songs from the same album or nearby on the list...,"Hi Jack! While we don't have plans to bring back the play queue right now, we're still testing, improving, and taking all feedback.",feature_request_feedback,n,,shuffle behaviour,claude-draft (review each row)
g034,1490417,2017-10-16 19:22:16+00:00,stratified,@115888 @SpotifyCares i’d love to know why my student rate went from 4.99 to 9.99 without any notice? can you please DM me!,i’d love to know why my student rate went from 4.99 to 9.99 without any notice? can you please DM me!,We've just sent you a DM 🙂,billing_subscription,y,,,claude-draft (review each row)
g035,41778,2017-11-01 15:19:29+00:00,stratified,@SpotifyCares Nothing is solved if I send you the link. Your service is still leaking customer informations.,2: Can you DM it to us instead? It'd be helpful if you could also send us the link where you found this. We'll be waiting /JE,Sorry you feel that way. It'd be best to send us the info over DM so that we can pass it on to the right folks,unhandleable,y,,brand-authored tweet (/JE signature),claude-draft (review each row)
g036,1222098,2017-10-25 15:06:42+00:00,stratified,Can @115888 just be available in my country already?,Can just be available in my country already?,Hi there! Can you tell us which country are you in? We'll take a look under the hood,content_availability,n,,,claude-draft (review each row)
g037,2835027,2017-11-27 14:18:54+00:00,random_uniform,@SpotifyCares check my dm pls,check my dm pls,"Hi Aj, we're happy to help! We've just replied to your DM. Let's continue chatting there",other,y,,asks for DM handling,claude-draft (review each row)
g038,2730544,2017-11-20 14:46:21+00:00,stratified,Hey @115888 could you maybe stop deleting all my downloaded songs in random intervals? Much appreciated,Hey could you maybe stop deleting all my downloaded songs in random intervals? Much appreciated,Hey Lukas! Could you DM us your account's email address? We'll take a look backstage and see what we can suggest /L [link:ldFdZRiNAt],offline_downloads,n,,,claude-draft (review each row)
g039,2002371,2017-11-03 21:51:50+00:00,random_uniform,Hey @115888 you keep on taking my downloaded songs offline for no reason. Very close to cancelling my account.,Hey you keep on taking my downloaded songs offline for no reason. Very close to cancelling my account.,"Hey Liam, this doesn't sound good! Could you send us a DM with your account's username or email address? We'll take a look backstage 🔍 /DB [link:ldFdZRiNAt]",offline_downloads,n,,hostile but known fix,claude-draft (review each row)
g040,560977,2017-12-02 12:59:33+00:00,stratified,@SpotifyCares hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,"Hi Brian! Can you DM us your account's email address or username? Also, let us know your devices' make/model, operating system, and Spotify version? We'll take a look /GT [link:ldFdZRiNAt]",playback_app_bug,y,,standard fixes already tried,claude-draft (review each row)
g041,712173,2017-10-06 15:14:00+00:00,random_uniform,"Hi @SpotifyCares, any chance this may become a regular feature? I’d love for all my tunes to come on a set :) https://t.co/RbZgBm5Pe8","Hi , any chance this may become a regular feature? I’d love for all my tunes to come on a set :)",Hi Aswin! You can actually do that now by adjusting the app's Crossfade settings. Check this out: [link:mKMS0iCZE3]. You can...,feature_request_feedback,n,,,claude-draft (review each row)
g042,2320580,2017-11-13 10:35:01+00:00,random_uniform,"@SpotifyCares Hi, I have invited my daughters to a family plan, but they are experiencing problems in accepting the invitation. They are momentarely abroad for study, but still reside at my home - is this the issue? Thanks","Hi, I have invited my daughters to a family plan, but they are experiencing problems in accepting the invitation. They are momentarely abroad for study, but still reside at my home - is this the issue? Thanks","Hey, help's here! Can you DM us all your accounts' email addresses? We'll check backstage /GK [link:ldFdZRiNAt]",family_plan,n,,address policy answers it,claude-draft (review each row)
g043,2288873,2017-11-12 03:13:45+00:00,random_uniform,@115888 can y'all improve the shuffle feature bc it sucks and plays the same shit all the time,can y'all improve the shuffle feature bc it sucks and plays the same shit all the time,Hey! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: [link:T3vZnSL3od],feature_request_feedback,n,,,claude-draft (review each row)
g044,2065168,2017-10-07 19:29:56+00:00,random_uniform,@SpotifyCares I've been charged twice in a month and have not received my student discount that I was approved for.,I've been charged twice in a month and have not received my student discount that I was approved for.,"Hey there, help's arrived! Could you send us a DM with your account's email address and username? We'll take a look backstage /RV [link:ldFdZRiNAt]",billing_subscription,y,,,claude-draft (review each row)
g045,2210937,2017-11-10 02:18:20+00:00,stratified,@115888 hello team #Spotify in premium you can see the lyrics of the songs??,hello team #Spotify in premium you can see the lyrics of the songs??,Hey there! Can you DM us your account's email address? We'll take a look backstage /RB [link:ldFdZRiNAt],other,n,,product question,claude-draft (review each row)
g046,765244,2017-10-07 10:55:28+00:00,stratified,@SpotifyCares heyyyy! Can you create a playlist for me?,heyyyy! Can you create a playlist for me?,Hi Jack! Can you give us more details on what you're looking for? We'll see what we can suggest,other,n,,,claude-draft (review each row)
g047,1872131,2017-10-20 01:55:18+00:00,stratified,@SpotifyCares y’alls system for management is crap I got charged for our family plan I expect my family to be able to listen. Fix ur system,y’alls system for management is crap I got charged for our family plan I expect my family to be able to listen. Fix ur system,"Hey there! Don't worry, we're here to help. Can you DM us your account's email address or username? We'll take a look backstage /MT [link:ldFdZRiNAt]",family_plan,y,,,claude-draft (review each row)
g048,123465,2017-11-23 23:53:20+00:00,random_uniform,"Electronic 80's (Ministry Of Sound) by Various Artists
https://t.co/wndZGh7j2i any reason why I can find this typing it in the Google browser but cannot find it in the Android app search @SpotifyCares  @115888  @6897. How many other albums are missing via the search?",Electronic 80's (Ministry Of Sound) by Various Artists any reason why I can find this typing it in the Google browser but cannot find it in the Android app search . How many other albums are missing via the search?,Hey Chris! Licensing agreements can affect music availability. We have more info here: [link:VMrgnGpB4G],content_availability,n,,,claude-draft (review each row)
g049,847137,2017-10-20 17:42:58+00:00,stratified,@117153 I've always had payment issues. And have been charged twice in a month several times. And can never speak with someone on the phone to sort,We're investigating some payment issues and working hard to get things fixed. We'll provide updates here as we receive them.,"Hi Jay, help's here! Can you DM us your account's username and email address? We’ll take a look backstage 🔍 /TR [link:ldFdZRiNAt]",unhandleable,y,,"status-page text, not a request",claude-draft (review each row)
g050,219047,2017-10-05 01:40:20+00:00,stratified,@SpotifyCares - Just created an account and migrated from Groove. How can I get the 60-day trial? https://t.co/1EgrG4Kgeq,- Just created an account and migrated from Groove. How can I get the 60-day trial?,Hey Matt! Can you DM us your account's email address or username? We'll check backstage /AR [link:ldFdZRiNAt],billing_subscription,n,,,claude-draft (review each row)
g051,143006,2017-11-24 09:01:13+00:00,random_uniform,@SpotifyCares I have signed up for premium and the money has come out of my account. I have logged out then in but still not working. It is the right account and right email so it couldn’t of gone to the wrong account and I still haven’t received  the emailed receipt. Help please,I have signed up for premium and the money has come out of my account. I have logged out then in but still not working. It is the right account and right email so it couldn’t of gone to the wrong account and I still haven’t received the emailed receipt. Help please,Hi! Help's here. Can you DM us your account's username or email address? We'll take a look backstage /DN [link:ldFdZRiNAt],billing_subscription,y,,,claude-draft (review each row)
g052,609686,2017-11-22 08:24:17+00:00,random_uniform,"my phone died and when i opened my music when it charged, all my songs had un-downloaded @115888 🖕🏼","my phone died and when i opened my music when it charged, all my songs had un-downloaded 🖕🏼","Hey, help's here! Can you DM us your account's email address? We'll check backstage /GK [link:ldFdZRiNAt]",offline_downloads,n,,,claude-draft (review each row)
g053,393180,2017-10-09 16:15:58+00:00,random_uniform,still! waiting! for! the! lyrics! tab! to! make! a! comeback! @115888,still! waiting! for! the! lyrics! tab! to! make! a! comeback!,"Hey Maddy, we hear you! Any updates will be posted at [link:osebD49Qxe]. We'd recommend voting to support the idea, too",feature_request_feedback,n,,,claude-draft (review each row)
g054,1841652,2017-10-18 02:59:59+00:00,random_uniform,@115888 @SpotifyCares i’m Trying To Make A Spotify Account &amp; It Just Keep Loading. Can Y’all Please Help?,i’m Trying To Make A Spotify Account & It Just Keep Loading. Can Y’all Please Help?,"Hey there! Just to check, are you getting any error messages when signing up for a Spotify account? If so, a screenshot would be handy",account_access,n,,,claude-draft (review each row)
g055,2053870,2017-10-06 04:27:15+00:00,stratified,@SpotifyCares I got charged twice and can’t talk to a person about it. Please help me.,I got charged twice and can’t talk to a person about it. Please help me.,"Hey Matilyn! We're afraid don't offer telephone support, but we can help via Twitter. Can you DM us your account's email address? /RA [link:ldFdZRiNAt]",billing_subscription,y,,,claude-draft (review each row)
g056,1925741,2017-11-08 04:05:01+00:00,random_uniform,@115888 you bitch ass need to get lemonade on here I need to get my freak on to Bey muh fuckers,you bitch ass need to get lemonade on here I need to get my freak on to Bey muh fuckers,"Hi there. We're working on it, and we hope to have it available soon. There's more info here: [link:WI0fi3V8Cu]",content_availability,n,,,claude-draft (review each row)
g057,291860,2017-10-06 14:14:18+00:00,random_uniform,@115888  When will you be supporting Alexa’s multiroom capabilities?,When will you be supporting Alexa’s multiroom capabilities?,"Hi there! We're afraid we don't have any info to share right now, but you can vote for the official idea here: [link:248j19QkbF]",feature_request_feedback,n,,,claude-draft (review each row)
g058,2653146,2017-11-19 04:03:08+00:00,random_uniform,"@115888 Hi folks, quick question, 

I know you and @118062 haven't had the greatest of relationships... BUT is the new album arriving soon???? #EndGame is a banger but isnt available

Asking for a friend...","Hi folks, quick question, I know you and haven't had the greatest of relationships... BUT is the new album arriving soon???? #EndGame is a banger but isnt available Asking for a friend...","Hey! We’ll have it available to you as soon as it’s available to us! For now, check out the singles: [link:3h0TnPWP0c]",content_availability,n,,,claude-draft (review each row)
g059,1719006,2017-10-17 16:57:56+00:00,stratified,@SpotifyCares I haven't received a code for majid Jordan presale ! Tickets already went on sale. I been with you guys for two years !!,I haven't received a code for majid Jordan presale ! Tickets already went on sale. I been with you guys for two years !!,Hey! We've just sent you a bit more info over DM,other,y,,"presale code, needs lookup",claude-draft (review each row)
g060,1705675,2017-11-06 21:44:27+00:00,stratified,"@SpotifyCares Hi, can't seem to sign up for a new non-Facebook account, screen hangs after pressing sign up &amp; there's some JS errors.","Hi, can't seem to sign up for a new non-Facebook account, screen hangs after pressing sign up & there's some JS errors.",Hey Simon! Can you DM us your account's email address or username? We'll check backstage /AR [link:ldFdZRiNAt],account_access,n,,,claude-draft (review each row)
g061,1102729,2017-10-23 22:02:20+00:00,stratified,.@SpotifyCares what’s the difference between saving a song to my library and downloading it ???,. what’s the difference between saving a song to my library and downloading it ???,Hi there. Saving a song to your library just saves the track on your account so you can conveniently access it anytime you want to...,other,n,,how-to,claude-draft (review each row)
g062,1702489,2017-11-06 18:25:26+00:00,random_uniform,"@115888 It's down on computer. Sigh..more and more problems with spotify. Left Pandora, now may have to leave spotify. 😔","It's down on computer. Sigh..more and more problems with spotify. Left Pandora, now may have to leave spotify. 😔",Hi there! Can you tell us more about what's happening? We'll see what we can do,playback_app_bug,n,,,claude-draft (review each row)
g063,2246145,2017-11-10 21:17:06+00:00,random_uniform,"@SpotifyCares I'm still waiting, I pay my m9nwy and no help from you guys, wth am I paying for???? I want a refund now!!!!!!!","I'm still waiting, I pay my m9nwy and no help from you guys, wth am I paying for???? I want a refund now!!!!!!!",Hi Anitra! Apologies for the delay. We've just sent you a bit more info over DM. We'll carry on helping out there,billing_subscription,y,,,claude-draft (review each row)
g064,366237,2017-10-08 15:50:34+00:00,random_uniform,.@115888 why is it your @127972 channel is very lacking? I should be able to at least control the channel from my app...,. why is it your channel is very lacking? I should be able to at least control the channel from my app...,"Hey there! Thanks for the feedback. Rest assured, it's being heard while we work with Roku on the best path forwards",feature_request_feedback,n,,,claude-draft (review each row)
g065,2558859,2017-11-16 16:44:03+00:00,random_uniform,"@115888 who told you it was a good idea to take down Take Care album, I need answers","who told you it was a good idea to take down Take Care album, I need answers","Hey Xavi, sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon!",content_availability,n,,,claude-draft (review each row)
g066,928434,2017-10-21 12:27:05+00:00,stratified,spotify keeps bullshitting me im so done,spotify keeps bullshitting me im so done,Hi! Sorry to hear that. The steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF] should help with this,other,n,,no specific issue; ask what's happening,claude-draft (review each row)
g067,591475,2017-12-03 16:18:21+00:00,stratified,@SpotifyCares I’ve got a bug where I can’t see the download bar properly it seems like it appears too far up which is behind the top bar,I’ve got a bug where I can’t see the download bar properly it seems like it appears too far up which is behind the top bar,"Hey there! Could you give us more info on what's happening exactly? What device, operating system, and app version are you running?",playback_app_bug,n,,,claude-draft (review each row)
g068,1956488,2017-10-30 15:40:09+00:00,stratified,@115888 @spotifycares My premium account was hacked. My playlists are gone and none of my family accounts can login.,My premium account was hacked. My playlists are gone and none of my family accounts can login.,Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF [link:ldFdZRiNAt],account_access,y,,,claude-draft (review each row)
g069,2105376,2017-11-08 10:47:48+00:00,stratified,Can someone please tell me why @115888 are still taking money from me after canceling my subscription 2 months ago? Is there a number I can ring?,Can someone please tell me why are still taking money from me after canceling my subscription 2 months ago? Is there a number I can ring?,"Hey Rob! We're afraid we don't have phone support for now, but we can help out here. Can you DM us your account's email/username? /AY [link:ldFdZRiNAt]",billing_subscription,y,,,claude-draft (review each row)
g070,2543086,2017-11-16 12:05:44+00:00,random_uniform,Hey @SpotifyCares I can't remote logout from device Sonos Play. Can you help me with that?,Hey I can't remote logout from device Sonos Play. Can you help me with that?,"Hey, help's here! Can you let us know the model and operating system of the device you're using as a remote? We'll see what we can suggest",playback_app_bug,n,,,claude-draft (review each row)
g071,1106821,2017-10-24 00:11:23+00:00,stratified,@117153 I'm being billed for premium but my account shows free. I've reset all password and logged in and out multiple times.,I'm being billed for premium but my account shows free. I've reset all password and logged in and out multiple times.,Hi! We've just responded to your DM. Let's continue chatting there,billing_subscription,y,,,claude-draft (review each row)
g072,2272741,2017-11-11 11:51:35+00:00,random_uniform,@115888 It’s a shame you need a creditcard and it’s not supported through iDeal.,"Premium voor studenten is verslavend. Speel af wat jij wilt horen, non stop. €4,99/per maand.","Hi there. We're sorry you feel that way. We appreciate your feedback, and we'll be sure to pass it on to the right folks",unhandleable,y,,non-English promo,claude-draft (review each row)
g073,1832750,2017-10-16 18:20:14+00:00,random_uniform,OH COOL @SpotifyCares app has removed all of my downloaded albums again; as it is wont to do every couple of months. RIP internet connection,OH COOL app has removed all of my downloaded albums again; as it is wont to do every couple of months. RIP internet connection,Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this,offline_downloads,n,,,claude-draft (review each row)
g074,932118,2017-10-13 19:45:50+00:00,stratified,@SpotifyCares spent £15 making a family plan and received a message that you is experiencing issues will i get a refund in the meanwhile?,spent £15 making a family plan and received a message that you is experiencing issues will i get a refund in the meanwhile?,Hey Aaliyah! We've just sent a DM your way. Let's carry on chatting there,billing_subscription,y,,,claude-draft (review each row)
g075,2981101,2017-11-30 04:40:31+00:00,stratified,@SpotifyCares My Bank account was debited by Spotify for 9.99 today. I don’t have Spotify on any of my devices. Never have,My Bank account was debited by Spotify for 9.99 today. I don’t have Spotify on any of my devices. Never have,"Hey Steve! We're here to help. Can you send us a DM with a screenshot of your bank statement showing the Spotify charge? For security purposes, make sure your full banking details are not visible. We'll take a look /AN [link:ldFdZRiNAt]",billing_subscription,y,,possible fraud,claude-draft (review each row)
