item_id,customer_raw,customer_clean,intent,escalate,escalate_reason
g154,@117153 spotify premium on my phone refuses to play Ed Sheeran? It stops playing. I don't have any ed sheeran on my phone storage.,spotify premium on my phone refuses to play Ed Sheeran? It stops playing. I don't have any ed sheeran on my phone storage.,,,
g116,@115888 My account has been hacked - what to do?,My account has been hacked - what to do?,,,
g093,"@SpotifyCares hello, I️ have a student account but his month I️ was charged 10.95   What is going on? Thank you","hello, I️ have a student account but his month I️ was charged 10.95 What is going on? Thank you",,,
g088,@SpotifyCares when will the iPhone X update come out?,when will the iPhone X update come out?,,,
g137,@115888 it isn't 1990 and you're not playing cd's. STOP SKIPPING!,it isn't 1990 and you're not playing cd's. STOP SKIPPING!,,,
g092,@115888 Renewed my annual sub and suddenly my link via my phone to @118117 seems to have gone - can you fix?,Premium gives you unlimited skips. Get 3 months now for just 99p.,,,
g133,@115888 it’s really distracting when Behind The Lyrics pops up and your driving. Maybe add an option to disable while driving,it’s really distracting when Behind The Lyrics pops up and your driving. Maybe add an option to disable while driving,,,
g045,@115888 hello team #Spotify in premium you can see the lyrics of the songs??,hello team #Spotify in premium you can see the lyrics of the songs??,,,
g011,"@SpotifyCares hi. I want to leave my family plan, but i cant contact the moderator. Please help me. Thank you","hi. I want to leave my family plan, but i cant contact the moderator. Please help me. Thank you",,,
g039,Hey @115888 you keep on taking my downloaded songs offline for no reason. Very close to cancelling my account.,Hey you keep on taking my downloaded songs offline for no reason. Very close to cancelling my account.,,,
g014,"@SpotifyCares Your organizational system has accidentally confused the traditional Spanish-language band ""Los Campesinos"" with the British alternative band ""Los Campesinos!"" Just FYI.","Your organizational system has accidentally confused the traditional Spanish-language band ""Los Campesinos"" with the British alternative band ""Los Campesinos!"" Just FYI.",,,
g136,@115888 yo this has been on my mind for a few years and it finally got to my last nerve why is only censored rodeo on Spotify or is this a problem I should address with @19279 ?,yo this has been on my mind for a few years and it finally got to my last nerve why is only censored rodeo on Spotify or is this a problem I should address with ?,,,
g143,"@115888 hey spotify always the same , i listen the same music every day , and the ""daily discover"" is just music i don't like ....just sad men ....every day i put my headphones and i want a new discovery but always end in my own playlists..😑","hey spotify always the same , i listen the same music every day , and the ""daily discover"" is just music i don't like ....just sad men ....every day i put my headphones and i want a new discovery but always end in my own playlists..😑",,,
g140,@115888 Bring back NUS @116130!,"Student? Get your fix of Premium. Play the songs you want, over and over. $5.99/mo.",,,
g047,@SpotifyCares y’alls system for management is crap I got charged for our family plan I expect my family to be able to listen. Fix ur system,y’alls system for management is crap I got charged for our family plan I expect my family to be able to listen. Fix ur system,,,
g015,Hope Spotify lose the ugly gradients soon.,Hope Spotify lose the ugly gradients soon.,,,
g064,.@115888 why is it your @127972 channel is very lacking? I should be able to at least control the channel from my app...,. why is it your channel is very lacking? I should be able to at least control the channel from my app...,,,
g142,"@SpotifyCares I just found out there is a video function in spotify, but i cant seem to play any videos. I am in Norway, i have premium and my spotify desktop version is 1.0.68.407.g6864aaaf. Thanks in advance.","I just found out there is a video function in spotify, but i cant seem to play any videos. I am in Norway, i have premium and my spotify desktop version is 1.0.68.407.g6864aaaf. Thanks in advance.",,,
g183,"@SpotifyCares spotify logged me out of my account and every time i try to login, it won’t let me press the button. i’ve tried deleting the app and reinstalling it but nothing will help. is there anything i can do?","spotify logged me out of my account and every time i try to login, it won’t let me press the button. i’ve tried deleting the app and reinstalling it but nothing will help. is there anything i can do?",,,
g025,"@SpotifyCares hi, can you help me disable the start on login feature? I'm on Mac OS X High Sierra running Spotify 1.0.66.478.g1296534d","hi, can you help me disable the start on login feature? I'm on Mac OS X High Sierra running Spotify 1.0.66.478.g1296534d",,,
g166,@115888 I love you but your shuffling algorithm has turned into absolute garbage,I love you but your shuffling algorithm has turned into absolute garbage,,,
g180,@SpotifyCares I am trying to remove the below song that’s greyed out-it was a local file and it will not budge-what do I do? https://t.co/viuZ6hLq2j,I am trying to remove the below song that’s greyed out-it was a local file and it will not budge-what do I do?,,,
g149,I need this on Spotify ASAP!! https://t.co/1QhZqCP3LX,I need this on Spotify ASAP!!,,,
g081,"@spotifycares Mid-song, my app (macOS) switches devices to someone else's random device, and starts playing their music! Next Steps here? https://t.co/RaodHNiJeN","Mid-song, my app (macOS) switches devices to someone else's random device, and starts playing their music! Next Steps here?",,,
g123,@116130 Spotify isn't working on my Sonos. Is there an issue that you are aware of? Cheers.,Spotify isn't working on my Sonos. Is there an issue that you are aware of? Cheers.,,,
