item_id,message,intent,reply,evidence,groundedness,resolution_fit,brand_voice,safety_scope,rater
g117,Why have my wife been charged three times in one month???,billing_subscription,Hey! Help's here. Can you DM us your account's email address? We'll see what we can suggest [link:ldFdZRiNAt],"[""Hi! We're sorry to hear that. We don't have phone support right now, but we'll be glad to help via Twitter. You can also get in touch with our Email team at [link:ZgU70TbP8M]. Let us know how you'd like to proceed"", ""Hey! The student discount is valid 12 months at a time. You can renew it if you're still a student. More info at [link:nLN7fuAWYb]"", ""Hi Lindsay! Help's here. We don't have phone support right now, but we'll be glad to help via Twitter. You can also get in touch with our Email team at [link:ZgU70TbP8M]. Let us know how you'd like to proceed"", ""Hi Martin! We're afraid we don't offer phone support at the moment, but we can help here. Can you DM us your account's email address? /GT [link:ldFdZRiNAt]"", ""Hey Kevin! It's only possible to pay for a Premium for Family subscription every month. Don't worry - we'll pass your feedback on...""]",5,4,5,5,claude-fable-5.1 (not a human)
g036,Can just be available in my country already?,content_availability,Hey there! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM] 💚,"[""Hey there! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM] 💚"", ""Hi! Fingers crossed we'll be able to have it in your country soon, but there's info about Spotify content here: [link:0i8GpimuDa]"", 'Hey! Sometimes content is unavailable due to licensing matters. More info about this here: [link:YlV1IAFV3I]', ""Hi there. We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM]"", ""Hey Rinoy! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM]. Stay awesome 😁""]",5,5,5,5,claude-fable-5.1 (not a human)
g095,we need you here in israel,content_availability,Hey! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM]. Fingers crossed we'll be with you soon 🙂,"[""Hey! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM]. Fingers crossed we'll be with you soon 🙂"", ""Hey Jake! We're launching in new countries as often as possible. Be sure to add your email at [link:USiTd696hl]"", ""Hey! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM]"", ""Hey there! We're afraid we haven't launched in Israel yet, so we're unable to put together a Top 50 for it on the Charts. Don't worry - we're launching in new countries as often as possible. We'll make sure to pass your feedback on to the relevant folks"", ""We don't have any info to share right now, but we'll let you know once we're available in the Middle East. Hopefully it'll be soon 😉""]",5,5,5,5,claude-fable-5.1 (not a human)
g028,What is spotiamb 0.2.1?! My music keeps playing to whatever this is? >.< whats up ?! || finally at my pc and im like why is music running? D:,playback_app_bug,"Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest.","['Got it. Does the same thing happen if you restart your device? If so, can you try the steps at [link:EqisDMwZAT]? Keep us posted', ""Right now, we recommend following the same steps in the link we sent. Don't worry though, we'll pass on your feedback to the team"", 'Hmm. The lack of RAM could affect its performance. How much available space do you have on your device? Does logging out & back in help?', ""Hmm. Is this happening over WiFi, mobile data, or offline mode? We'll take a closer look"", ""Thanks. We'd suggest logging out, closing the app, and restarting your laptop. Does that help?""]",4,2,5,5,claude-fable-5.1 (not a human)
g157,"can we get the Vicente Fernandez lyrics up on the app? My mumbling the words I don't know is not a good look. Gracias, fam",feature_request_feedback,"Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see 🙂","[""Hey Jossell! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see"", ""We hear you, Christine! At the moment, we'd recommend showing your support here: [link:QUA026DQUH]. Hope this helps 🙂"", ""Hey Nick! We don't have any info from our developers on this right now, but you can vote for the idea here: [link:osebD49Qxe]"", ""Hey, we hear you. Any updates will be posted at [link:osebD49Qxe]. We'd recommend voting to support the idea, too 🙂"", ""Hey, we hear you! Any updates will be posted at [link:osebD49Qxe]. We'd recommend voting to support the idea, too""]",5,5,5,5,claude-fable-5.1 (not a human)
g159,"sy tdk bisa login di apps ""wrong user id / pswd"" tp dgn ID & pwd yg sama bisa login di web. Pls help hrs bgmn",account_access,"Hey! We can help out in English via Twitter, but we also have Indonesian support via email at [link:ZgU70TbP8M]","[""Hey! We're aware of some potential Spotify for Artists log in issues at the moment. The team are on the case 🙂 If you're struggling, can you DM us your account's email? /J [link:ldFdZRiNAt]"", ""Hey there! Can you try clearing your browser's cache and cookies? That might help"", ""Hey Tom! That's not cool. Does restarting the device and trying to log back in help? Keep us posted"", 'Hey! We can help out in English via Twitter, but we also have Indonesian support via email at [link:ZgU70TbP8M]', 'Could you try signing up using an incognito window or a different browser instead? Keep us posted']",4,5,5,5,claude-fable-5.1 (not a human)
g150,I need help cant pay for premium no matter what card i use.,billing_subscription,Hey there! Can you DM us your account's email address? We'll see what we can suggest: [link:ldFdZRiNAt],"[""Hey there! We're afraid that paying via iTunes is not possible at the moment, but we have different payment options available. To find an eligible payment method that'll work best for you, head to [link:1iF7T0iEU2]. Let us know if there's anything else"", ""We're looking into this at the moment. Thanks for reporting. Everything should be back up and running again soon!"", ""Hey, help's here! You can apply for the student discount at [link:anKs5CbHuB]. Let us know how it goes"", 'You can register for a UNiDAYS account at [link:QuKWIbmK9m]. You can then sign up for the student discount after. Hope this helps', ""Hey there, we're here to help! Here's all the information you need to know about the student discount: [link:rdZ9slIDDQ] 🙂""]",4,3,5,5,claude-fable-5.1 (not a human)
g108,I'm looking to get the student discount but I already have an account with a different email. Do I have to create a new account or can I change my email to get the discount?,billing_subscription,Hey! You can apply for the student discount at [link:anKs5CbHuB]. Let us know how it goes,"[""Hey! The student discount isn't currently available for high school students. Add your vote for the idea at [link:B79Dww7rFK]."", ""Hi Rachel! If you're already on the student discount, you can still get this offer. More info here: [link:hAqefUikr2]"", ""Hey, help's here! You can apply for the student discount at [link:anKs5CbHuB]. Let us know how it goes"", ""You'd get an email if your school is added to the list. You'd need to reapply for the student discount to receive it. Hope this helps"", 'Hey Andrew! To sign up for the student discount, just head here: [link:xbU7d8wpTJ]. Let us know if you have any other questions']",5,3,5,5,claude-fable-5.1 (not a human)
g002,. when are we getting our year in music for 2017?,content_availability,"Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see.","[""Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see. Keep on rocking 🤘"", 'Hey! We’ll have it available to you as soon as it’s available to us! [link:0i8GpimuDa] 😉', ""Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see"", ""Hi there! We don't have any info on this at the moment, but we'll let the right team know it's something you'd like to see"", ""Hi there! We're afraid we don't have any info to share right now. We'll make sure to let everyone know as soon as we have something to announce""]",5,4,5,5,claude-fable-5.1 (not a human)
g193,why isn’t my premium working please and thank you,billing_subscription,"Hey there, help's here! Does logging out and back in help at all? If the issue persists, try restarting your device. Keep us posted!","[""Glad to hear you're finally on Premium for Family now! If you ever need us again, we're just a tweet away. [link:uQiQuWow27] 😁"", 'Hey there! Could you try logging out and logging back in? Keep us posted', ""Hey Ryan, help's here. Does logging out and back in help at all? If the issue persists, try restarting the device. Keep us posted"", ""We're looking into this at the moment. Thanks for reporting. Everything should be back up and running again soon!"", ""Hey, the cavalry's here! Does using a different browser or incognito window make any difference? If not, could you DM us your account's email address? We'll see what we can suggest /NJ [link:ldFdZRiNAt]""]",5,4,5,5,claude-fable-5.1 (not a human)
g115,"this is the second time Spotify deleted ALL my music, flicking all download switches to 'off'. I'm talking 30GB of music. Why?",offline_downloads,Hey! We're sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this. Let us know how it goes!,"['Sorry to hear that, Tom! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this', ""Hey Anna! We're sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]."", 'Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this', 'Hey, sorry to hear that! Check the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this', ""Hey Matthew! We're sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at [link:EidIERWgLX]. They should help with this""]",5,5,5,5,claude-fable-5.1 (not a human)
g199,"what do I do if my music stops playing. Like a song in a playlist will end but it won't move onto the next and then I can't || Even play any song from the playlist, a different playlist etc. it just won't play I've already exited and went back into the app many times",playback_app_bug,"Hey there! Does logging out, restarting your device, and logging back into Spotify help? Keep us posted.","[""Hey there, the cavalry's here! Does logging out, restarting your device, and logging back into Spotify help? Keep us posted"", 'Thanks! Does logging out > restarting the device > logging back in help? Keep us posted', 'Hmm. Can you try reinstalling the app? You can follow the steps here: [link:PDA2aKzC6Q]', 'Got it. Best thing to try here is a reinstall. Just follow the steps at [link:EqisDMwZAT]. Let us know how it goes 🙂', ""Hmm. Is this happening over WiFi, mobile data, or offline mode? We'll take a closer look""]",5,4,5,5,claude-fable-5.1 (not a human)
g177,can you add Jay-Z please,content_availability,Hey! We'd love to have Jay-Z on Spotify! Hopefully we will in the future. Check this out: [link:MEjmIRL2eB],"['Hey! We’ll have it available to you as soon as it’s available to us. [link:0i8GpimuDa]', ""Hey! We'd love to have them on Spotify! Hopefully we will in the future. Check this out: [link:MEjmIRL2eB]"", 'Hey there! We’d love to have that soundtrack available, but we have some info about content here: [link:0i8GpimuDa]', ""Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]"", 'Hi Patrick! We’d love to have all of his stuff available, but we have some info about content here: [link:0i8GpimuDa]']",5,5,5,5,claude-fable-5.1 (not a human)
g158,"when the login says ""username or email"" you'd think we could just use the email right? Nope. You have to use your username. Thanks.",account_access,Hey there! Do you get an error message when trying to log in with your email? Keep us posted.,"[""Hey there! Right now, it's not possible to choose a username at sign-up, but you can add a display name instead. Other Spotify..."", ""It's not possible to choose a username at sign-up, but you can add a display name that other users will see when visiting your profile"", ""Hi! Right now, it's not possible to choose a username at sign-up, but you can add a display name instead. Other users will see this name"", ""Hey! We're aware of some potential Spotify for Artists log in issues at the moment. The team are on the case 🙂 If you're struggling, can you DM us your account's email? /J [link:ldFdZRiNAt]"", ""Hey there! Can you try clearing your browser's cache and cookies? That might help""]",4,2,5,5,claude-fable-5.1 (not a human)
g052,"my phone died and when i opened my music when it charged, all my songs had un-downloaded 🖕🏼",offline_downloads,"Hey there, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this. Let us know how it goes!","['Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. It should help with this', 'Hi Pete! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this', 'Hi Cris! Can you check out the steps under “Downloads unexpectedly removed” here: [link:XpxqnLhytY]? Let us know how things go', 'Hi Lucas! Can you check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]? They should help with this', 'Hey, sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should out']",5,5,5,5,claude-fable-5.1 (not a human)
g010,Why pay for when it wont let me log on !!!!!!,account_access,Hey there! That doesn't sound right. Does restarting your device and trying to log back in help? Keep us posted,"[""Hey Tom! That's not cool. Does restarting the device and trying to log back in help? Keep us posted"", ""Hey! We're aware of some potential Spotify for Artists log in issues at the moment. The team are on the case 🙂 If you're struggling, can you DM us your account's email? /J [link:ldFdZRiNAt]"", ""Hey there! Can you try clearing your browser's cache and cookies? That might help"", 'Could you try signing up using an incognito window or a different browser instead? Keep us posted', 'Thanks for letting us know. Can you try giving your WiFi router a little restart? Let us know if that helps /QI [link:ldFdZRiNAt]']",5,4,5,5,claude-fable-5.1 (not a human)
g196,Hi When Music Will Be Available In India🇮🇳?? Waiting For It..,content_availability,Hey there! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM] to stay in the loop!,"[""Hey there! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM]"", 'Hey! We’ll have it available to you as soon as it’s available to us! [link:0i8GpimuDa] 😉', ""Hi. Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: [link:3h0TnPWP0c]"", ""Hey Rinoy! We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM]. Stay awesome 😁"", ""Thanks. We're launching in new countries as often as possible. Be sure to add your email at [link:X8DVSX9QgM]""]",5,5,5,5,claude-fable-5.1 (not a human)
g171,"- My account keeps getting taken over by a SpotiAmb 0.2.1 ""user"". Tried logging out everywhere and changing my password. help!",account_access,Hey there! We're here to help. Do you get an error message when trying to log in? Keep us posted.,"[""Hey there! Right now, it's not possible to choose a username at sign-up, but you can add a display name instead. Other Spotify..."", ""Hey Tom! That's not cool. Does restarting the device and trying to log back in help? Keep us posted"", ""Hey! We're aware of some potential Spotify for Artists log in issues at the moment. The team are on the case 🙂 If you're struggling, can you DM us your account's email? /J [link:ldFdZRiNAt]"", ""It's not possible to choose a username at sign-up, but you can add a display name that other users will see when visiting your profile"", ""Hey there! Can you try clearing your browser's cache and cookies? That might help""]",4,1,5,5,claude-fable-5.1 (not a human)
g134,Are you lowering the monthly price,billing_subscription,"Hey there! We don't have any info on this right now, but we'll let the right team know it's something you're looking forward to.","[""Hi Martin! We're afraid we don't offer phone support at the moment, but we can help here. Can you DM us your account's email address? /GT [link:ldFdZRiNAt]"", ""Hey there! We don't have any info on this right now, but we'll let the right team know it's something you're looking forward to"", ""Hey Sylvia! We don't offer phone support at the moment, but we can help here. Can you DM us your account's email address? /AN [link:ldFdZRiNAt]"", ""Hey Jordan! We currently don't offer 12 months for the price of 10 on our Premium for Family subscription. Can you DM us your account's username or email address? We'll see what we can suggest /PC [link:ldFdZRiNAt]"", ""Hi! We're afraid that isn't possible at the moment. We have more info about it here: [link:l4OpihWrTi]. Hope this helps""]",5,4,5,5,claude-fable-5.1 (not a human)
g143,"hey spotify always the same , i listen the same music every day , and the ""daily discover"" is just music i don't like ....just sad men ....every day i put my headphones and i want a new discovery but always end in my own playlists..😑",feature_request_feedback,"Hey there! Sorry to hear Discover Weekly wasn’t to your liking. You can change the suggestions by listening to similar music you'd like to hear on your list, but we'll also pass your feedback on. Keep us posted!","[""Hey there! We hear you. We're afraid this isn't possible right now, but you can help make it happen by adding your vote to this official idea here: [link:a9TZL1Dqp6]"", ""Sorry to hear Discover Weekly wasn’t to your liking this week! At the moment this feature is unavailable but we'll pass your feedback on"", ""Hey! It's not possible to reset it, but you can change the suggestions by listening to similar music you'd like to hear on your list"", 'Got it! We have some info about our shuffle feature from the developers here: [link:PeKWsDpHVq]. Hope that helps', ""Hey Marcus, we understand your frustration. Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]""]",5,5,5,5,claude-fable-5.1 (not a human)
g049,I've always had payment issues. And have been charged twice in a month several times. And can never speak with someone on the phone to sort,billing_subscription,"Hi! We're sorry to hear this. We don't have phone support right now, but we'll be glad to help via Twitter. You can also get in touch with our Email team at [link:ZgU70TbP8M]. Let us know how you'd like to proceed.","[""Hey there! We don't have phone support, but we're happy to help here. Does the same thing happen when you use a different browser or incognito window? Also, can you DM us your account's email address? We'll check things out /KC [link:ldFdZRiNAt]"", ""Hi! We're sorry to hear that. We don't have phone support right now, but we'll be glad to help via Twitter. You can also get in touch with our Email team at [link:ZgU70TbP8M]. Let us know how you'd like to proceed"", ""Hi Lindsay! Help's here. We don't have phone support right now, but we'll be glad to help via Twitter. You can also get in touch with our Email team at [link:ZgU70TbP8M]. Let us know how you'd like to proceed"", ""Hey Natalie, help's here! Can you try using a different browser or an incognito window? Clearing your browser's cache and cookies might also help. Let us know how it goes"", ""Hey, the cavalry's here! Does using a different browser or incognito window make any difference? If not, could you DM us your account's email address? We'll see what we can suggest /NJ [link:ldFdZRiNAt]""]",5,4,5,5,claude-fable-5.1 (not a human)
g039,Hey you keep on taking my downloaded songs offline for no reason. Very close to cancelling my account.,offline_downloads,Hey! We're sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this. Keep us posted!,"['Sorry to hear that, Hal! Check out the steps under “Downloads unexpectedly removed” at [link:EidIERWgLX]. They should help with this', 'Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this', 'Hi Jonah! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. Keep us posted', 'Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help', ""Hi Thom, we're sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at [link:38J7tFlIBF]. They should help with this. Let us know if you have any questions""]",5,5,5,5,claude-fable-5.1 (not a human)
g188,Hey why does this track play I Will Survive instead of Come And Get Your Love,content_availability,"Hey! Just to check, what country is your Spotify account set to? We'll check things out.","[""Hey Aidan! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: [link:0i8GpimuDa]"", ""Hey! Can you let us know your phone's operating system and Spotify version? Does restarting help?"", 'Hey Diana. We’ll have it available to you as soon as it’s available to us! [link:0i8GpimuDa]', ""Thanks. Looks like this is happening because the track's not currently available in your country. Hopefully we'll have it..."", ""Hey Morgan! We don't have any info on this right now, Thanks for the feedback. We’ll get this passed onto the right team""]",4,3,5,5,claude-fable-5.1 (not a human)
g024,Questio. - why isnt 's new album #Now listed under your new releases?,content_availability,Hey there! We’ll have it available to you as soon as it’s available to us! [link:0i8GpimuDa],"['Hey, we’ll have it available to you as soon as it’s available to us! [link:1dgftcFtzc]', 'Hey Lenz! We’d love to have all of their stuff available, but we have some info about content here: [link:0i8GpimuDa].', 'Got it. Does logging out > restarting your device > logging back in again make any difference?', ""Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: [link:3h0TnPWP0c]"", 'Hey there. We’ll have it available to you as soon as it’s available to us! [link:0i8GpimuDa]']",5,3,5,5,claude-fable-5.1 (not a human)
g122,How in the world does for iOS not have a ‘Clear Queue’ button yet?,feature_request_feedback,"Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see.","[""Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see"", 'Hi Steve! You should be able to remove tracks from your queue using the steps at [link:Lx02el9U59]', 'Hey there! You can remove tracks in the Play Queue by following the steps here: [link:Lx02el9U59]. Hope this helps', ""Hey Florian, help's here! We can see how that’d be useful. You can vote for the official idea here: [link:iqGpFLeSB9]"", 'Hey! We have more info about this here: [link:pXBCq8GlsI]. Give us a shout if you have any questions']",5,3,5,5,claude-fable-5.1 (not a human)
g139,Help I cant play songs by certain artists at all across my devices laptop/phone,playback_app_bug,"Hey there! Does logging out, restarting your devices, and logging back in help at all? Let us know how it goes","['Thanks! Does logging out > restarting the device > logging back in help? Keep us posted', 'Hey Jessica! Just to check, did you try following the exact steps at [link:jnWe28bxRW]? Let us know how it goes', ""Hi there! Can you let us know your laptop's operating system and Spotify version? Does restarting help?"", ""Sorry to hear this is ongoing, Joshua! We've made the devs aware and they're investigating. We'll send over a DM and continue to help"", 'Hey there! Does logging out, restarting your device, and logging back in help at all? Let us know how it goes']",5,3,5,5,claude-fable-5.1 (not a human)
g026,"My family can't sign into their accounts. We're on Premium Family. Please help! Yes, they're in the same home.",family_plan,Hey! Can you DM us your username and the Family plan owner's email address? We'll take a look backstage [link:ldFdZRiNAt],"[""Hey John! Can you DM us your username and the Family plan owner's email address? We'll take a look backstage /LO [link:ldFdZRiNAt]"", 'With Premium for Family, you and up to 5 members of the same household can join. More info here: [link:KJ8ayuKPFM]', ""Hi Alice! Currently, all members of a Premium for Family plan must reside at the same address. We're passing on all feedback about this"", ""Hi! We'd suggest trying again using a different browser or a private browsing window. Let us know how it goes"", ""Hey William, help's here! Could you give it another shot using an incognito window or a different browser? Let us know how it plays out""]",5,5,5,5,claude-fable-5.1 (not a human)
