item_id,customer_raw,customer_clean,intent,escalate,escalate_reason,labeler
g186,@117168 How do I stop this annoying Spanish @1247 ad from playing after every other song? My settings are English. Make it stooppp!,How do I stop this annoying Spanish ad from playing after every other song? My settings are English. Make it stooppp!,other,n,"User is asking a general question about ad targeting and language settings, which can be addressed publicly by explaining how ads are served or suggesting Premium.",Siddharth Rao
g150,@SpotifyCares I need help cant pay for premium no matter what card i use.,I need help cant pay for premium no matter what card i use.,billing_subscription,y,"Payment method error, requires account lookup to check billing status.",Siddharth Rao
g115,"@SpotifyCares this is the second time Spotify deleted ALL my music, flicking all download switches to 'off'. I'm talking 30GB of music. Why?","this is the second time Spotify deleted ALL my music, flicking all download switches to 'off'. I'm talking 30GB of music. Why?",offline_downloads,n,standard troubleshooting for offline downloads,Siddharth Rao
g055,@SpotifyCares I got charged twice and can’t talk to a person about it. Please help me.,I got charged twice and can’t talk to a person about it. Please help me.,billing_subscription,y,"Double charge, requires account lookup and refund processing",Siddharth Rao
g066,spotify keeps bullshitting me im so done,spotify keeps bullshitting me im so done,feature_request_feedback,n,"Vague complaint, agent can reply publicly to ask for more details.",Siddharth Rao
g154,@117153 spotify premium on my phone refuses to play Ed Sheeran? It stops playing. I don't have any ed sheeran on my phone storage.,spotify premium on my phone refuses to play Ed Sheeran? It stops playing. I don't have any ed sheeran on my phone storage.,playback_app_bug,n,Standard playback troubleshooting applies such as clearing cache or reinstalling the app.,Siddharth Rao
g116,@115888 My account has been hacked - what to do?,My account has been hacked - what to do?,account_access,y,Account security is in question due to hacking.,Siddharth Rao
g093,"@SpotifyCares hello, I️ have a student account but his month I️ was charged 10.95   What is going on? Thank you","hello, I️ have a student account but his month I️ was charged 10.95 What is going on? Thank you",billing_subscription,y,"User was charged the wrong amount for a student account, requires account lookup and potential refund.",Siddharth Rao
g088,@SpotifyCares when will the iPhone X update come out?,when will the iPhone X update come out?,feature_request_feedback,n,"General inquiry about an app update timeline, which can be answered publicly with a standard response.",Siddharth Rao
g137,@115888 it isn't 1990 and you're not playing cd's. STOP SKIPPING!,it isn't 1990 and you're not playing cd's. STOP SKIPPING!,playback_app_bug,n,"Standard playback troubleshooting applies, no account lookup needed.",Siddharth Rao
g092,@115888 Renewed my annual sub and suddenly my link via my phone to @118117 seems to have gone - can you fix?,Premium gives you unlimited skips. Get 3 months now for just 99p.,playback_app_bug,y,User mentions renewing subscription right before the issue; requires account lookup to verify if Premium activated properly to support the integration.,Siddharth Rao
g133,@115888 it’s really distracting when Behind The Lyrics pops up and your driving. Maybe add an option to disable while driving,it’s really distracting when Behind The Lyrics pops up and your driving. Maybe add an option to disable while driving,feature_request_feedback,n,"General feedback and feature request, can be acknowledged publicly without account lookup.",Siddharth Rao
g045,@115888 hello team #Spotify in premium you can see the lyrics of the songs??,hello team #Spotify in premium you can see the lyrics of the songs??,other,n,"General question about features, can be answered publicly.",Siddharth Rao
g011,"@SpotifyCares hi. I want to leave my family plan, but i cant contact the moderator. Please help me. Thank you","hi. I want to leave my family plan, but i cant contact the moderator. Please help me. Thank you",family_plan,y,Requires account lookup to manually remove user from family plan.,Siddharth Rao
g039,Hey @115888 you keep on taking my downloaded songs offline for no reason. Very close to cancelling my account.,Hey you keep on taking my downloaded songs offline for no reason. Very close to cancelling my account.,offline_downloads,n,standard troubleshooting for offline downloads,Siddharth Rao
g014,"@SpotifyCares Your organizational system has accidentally confused the traditional Spanish-language band ""Los Campesinos"" with the British alternative band ""Los Campesinos!"" Just FYI.","Your organizational system has accidentally confused the traditional Spanish-language band ""Los Campesinos"" with the British alternative band ""Los Campesinos!"" Just FYI.",content_availability,y,Metadata correction requires human verification and internal routing to the catalog team.,Siddharth Rao
g136,@115888 yo this has been on my mind for a few years and it finally got to my last nerve why is only censored rodeo on Spotify or is this a problem I should address with @19279 ?,yo this has been on my mind for a few years and it finally got to my last nerve why is only censored rodeo on Spotify or is this a problem I should address with ?,content_availability,n,Standard licensing FAQ applies for missing explicit versions of albums.,Siddharth Rao
g143,"@115888 hey spotify always the same , i listen the same music every day , and the ""daily discover"" is just music i don't like ....just sad men ....every day i put my headphones and i want a new discovery but always end in my own playlists..😑","hey spotify always the same , i listen the same music every day , and the ""daily discover"" is just music i don't like ....just sad men ....every day i put my headphones and i want a new discovery but always end in my own playlists..😑",feature_request_feedback,n,"General feedback about recommendations, can be addressed publicly.",Siddharth Rao
g140,@115888 Bring back NUS @116130!,"Student? Get your fix of Premium. Play the songs you want, over and over. $5.99/mo.",billing_subscription,n,"General request regarding student discount program, no account lookup required.",Siddharth Rao
g047,@SpotifyCares y’alls system for management is crap I got charged for our family plan I expect my family to be able to listen. Fix ur system,y’alls system for management is crap I got charged for our family plan I expect my family to be able to listen. Fix ur system,family_plan,y,"User was charged for a family plan but members do not have access, requires account lookup.",Siddharth Rao
g015,Hope Spotify lose the ugly gradients soon.,Hope Spotify lose the ugly gradients soon.,feature_request_feedback,n,"User is providing design feedback, no account action or sensitive information is involved.",Siddharth Rao
g064,.@115888 why is it your @127972 channel is very lacking? I should be able to at least control the channel from my app...,. why is it your channel is very lacking? I should be able to at least control the channel from my app...,feature_request_feedback,n,General feedback and feature request that can be acknowledged publicly without account lookup.,Siddharth Rao
g142,"@SpotifyCares I just found out there is a video function in spotify, but i cant seem to play any videos. I am in Norway, i have premium and my spotify desktop version is 1.0.68.407.g6864aaaf. Thanks in advance.","I just found out there is a video function in spotify, but i cant seem to play any videos. I am in Norway, i have premium and my spotify desktop version is 1.0.68.407.g6864aaaf. Thanks in advance.",playback_app_bug,n,"Standard playback troubleshooting, no account lookup required.",Siddharth Rao
g183,"@SpotifyCares spotify logged me out of my account and every time i try to login, it won’t let me press the button. i’ve tried deleting the app and reinstalling it but nothing will help. is there anything i can do?","spotify logged me out of my account and every time i try to login, it won’t let me press the button. i’ve tried deleting the app and reinstalling it but nothing will help. is there anything i can do?",account_access,n,"Standard login troubleshooting, can be handled publicly.",Siddharth Rao
g025,"@SpotifyCares hi, can you help me disable the start on login feature? I'm on Mac OS X High Sierra running Spotify 1.0.66.478.g1296534d","hi, can you help me disable the start on login feature? I'm on Mac OS X High Sierra running Spotify 1.0.66.478.g1296534d",other,n,Standard how-to question that can be answered with public instructions.,Siddharth Rao
g166,@115888 I love you but your shuffling algorithm has turned into absolute garbage,I love you but your shuffling algorithm has turned into absolute garbage,feature_request_feedback,n,"General feedback and complaint about the shuffling algorithm, no account lookup or security issue involved.",Siddharth Rao
g180,@SpotifyCares I am trying to remove the below song that’s greyed out-it was a local file and it will not budge-what do I do? https://t.co/viuZ6hLq2j,I am trying to remove the below song that’s greyed out-it was a local file and it will not budge-what do I do?,playback_app_bug,n,"Standard app troubleshooting for removing local files, no account lookup needed",Siddharth Rao
g149,I need this on Spotify ASAP!! https://t.co/1QhZqCP3LX,I need this on Spotify ASAP!!,content_availability,n,"Standard content request, can be answered with licensing FAQ",Siddharth Rao
g081,"@spotifycares Mid-song, my app (macOS) switches devices to someone else's random device, and starts playing their music! Next Steps here? https://t.co/RaodHNiJeN","Mid-song, my app (macOS) switches devices to someone else's random device, and starts playing their music! Next Steps here?",account_access,y,"Account security in question, possible unauthorized access.",Siddharth Rao
g123,@116130 Spotify isn't working on my Sonos. Is there an issue that you are aware of? Cheers.,Spotify isn't working on my Sonos. Is there an issue that you are aware of? Cheers.,playback_app_bug,n,Standard troubleshooting for speaker integration; no account security or billing involved.,Siddharth Rao
